
> moneymesh-redesign@0.0.1 dev
> vite

Port 5174 is in use, trying another one...
Port 5175 is in use, trying another one...

  VITE v4.5.14  ready in 102 ms

  ➜  Local:   http://localhost:5176/
  ➜  Network: use --host to expose
5:05:57 AM [vite] hmr update /src/contexts/AuthContext.tsx
5:08:39 AM [vite] hmr update /src/contexts/AuthContext.tsx
5:09:00 AM [vite] hmr update /src/pages/SettingsPage.tsx
5:16:44 AM [vite] hmr update /src/pages/Accounts.tsx
5:17:15 AM [vite] hmr update /src/pages/Dashboard.tsx
5:17:29 AM [vite] hmr update /src/pages/Transactions.tsx
5:17:44 AM [vite] hmr update /src/pages/Cards.tsx
5:17:58 AM [vite] hmr update /src/pages/Loans.tsx
5:18:15 AM [vite] hmr update /src/pages/Transfers.tsx
5:21:26 AM [vite] hmr update /src/pages/Loans.tsx
5:21:26 AM [vite] hmr update /src/pages/Cards.tsx
5:21:26 AM [vite] hmr update /src/pages/Transactions.tsx
5:21:26 AM [vite] hmr update /src/pages/Dashboard.tsx
5:21:26 AM [vite] hmr update /src/pages/Accounts.tsx
5:21:26 AM [vite] hmr update /src/pages/Transfers.tsx
5:22:05 AM [vite] hmr update /src/contexts/AuthContext.tsx
5:22:15 AM [vite] hmr update /src/pages/SettingsPage.tsx
5:22:28 AM [vite] hmr update /src/pages/SettingsPage.tsx
5:25:32 AM [vite] hmr update /src/pages/Dashboard.tsx
5:25:47 AM [vite] hmr update /src/pages/Accounts.tsx
5:26:17 AM [vite] hmr update /src/pages/Transactions.tsx
5:26:38 AM [vite] hmr update /src/pages/Cards.tsx
5:26:51 AM [vite] hmr update /src/contexts/AuthContext.tsx
5:26:51 AM [vite] hmr update /src/pages/Dashboard.tsx
5:26:51 AM [vite] hmr update /src/pages/Accounts.tsx
5:26:51 AM [vite] hmr update /src/pages/Transactions.tsx
5:26:51 AM [vite] hmr update /src/pages/Cards.tsx
5:26:51 AM [vite] hmr update /src/pages/SettingsPage.tsx
5:26:56 AM [vite] hmr update /src/pages/Transfers.tsx
5:27:15 AM [vite] hmr update /src/pages/Loans.tsx
5:28:09 AM [vite] hmr update /src/pages/Loans.tsx
5:28:09 AM [vite] hmr update /src/pages/Transfers.tsx
5:29:00 AM [vite] hmr update /src/pages/Dashboard.tsx
